duration,src_bytes,dst_bytes,wrong_fragment,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,attack_binary
102,6374,154,0,45,37,0.75240312,0.090336961,0.005145171,0.35915103,0
435,6892,10729,2,34,98,0.706980461,0.770985926,0.819946917,0.383847152,1
348,1678,1409,1,5,14,0.778571939,0.068249705,0.228625162,0.465812807,0
270,3242,12249,2,81,63,0.143127986,0.837078991,0.908701309,0.835998064,0
106,4636,784,2,68,88,0.204544593,0.437193396,0.001120111,0.235792094,1
71,1059,11367,0,46,27,0.714064082,0.915513677,0.556181735,0.776000207,1
188,6668,8096,1,24,73,0.493981487,0.721532861,0.756635804,0.405310183,1
20,9914,7560,0,65,38,0.754635292,0.610404667,0.258688331,0.601855384,0
102,3157,12533,1,9,56,0.102916031,0.949306797,0.193132865,0.632540533,1
121,5915,7343,1,55,16,0.536481351,0.396649373,0.084098224,0.372848637,1
466,9789,7206,1,29,85,0.378821566,0.954086937,0.326433577,0.512615205,0
214,2693,5596,1,4,89,0.457000219,0.135001277,0.559844312,0.413031175,1
330,3627,5801,1,32,43,0.603957872,0.483754942,0.115843857,0.069132786,0
458,9555,2806,2,64,24,0.502288347,0.269911222,0.376695362,0.437165389,1
87,5450,537,0,17,16,0.539860637,0.539842779,0.009072405,0.097393393,0
372,1663,5986,2,95,12,0.486357482,0.162013878,0.81867942,0.405020799,1
99,9721,1841,1,48,83,0.408955177,0.84152966,0.128448718,0.5929184,1
359,5592,13208,0,10,24,0.771881981,0.846407849,0.283342948,0.579414899,0
151,7392,10647,1,84,67,0.012203072,0.955236313,0.018427719,0.662621279,0
130,1306,8716,0,25,9,0.598442701,0.154672141,0.432240784,0.095261508,1
149,6776,6971,2,62,66,0.565508347,0.623332551,0.840121503,0.652123246,0
308,5864,5625,0,88,17,0.716179075,0.474237309,0.392151211,0.312148057,0
257,9474,2950,0,85,99,0.599029365,0.344383732,0.179497323,0.399045946,0
343,7526,7992,0,58,85,0.826798828,0.351540161,0.753698834,0.857986254,0
491,8901,12323,0,26,33,0.959074795,0.412793551,0.788806982,0.009030404,1
413,5575,4780,0,48,7,0.342524257,0.70492555,0.173753475,0.588412633,1
293,5530,12307,1,76,39,0.227350983,0.598286058,0.770854109,0.59871398,0
385,4413,2368,0,32,82,0.423596862,0.459681513,0.947297888,0.396659776,0
191,3748,12039,0,97,41,0.287929616,0.07593341,0.166377587,0.237027857,0
443,663,6655,2,98,40,0.614950263,0.077765344,0.770984293,0.234674038,0
276,1998,8173,0,0,5,0.911852409,0.002339391,0.708572005,0.88370967,1
160,7994,4495,2,20,51,0.139116194,0.967699388,0.473573888,0.442024374,1
459,1495,10893,1,54,25,0.100794603,0.005253819,0.057920461,0.330889363,0
313,3304,9163,0,5,63,0.256015532,0.103093746,0.074694418,0.448777574,0
21,3763,6002,2,91,97,0.726095586,0.314596557,0.852414659,0.669390401,0
252,5232,6614,2,80,58,0.592962905,0.807430252,0.990148373,0.145756568,1
235,1853,9358,1,68,55,0.102212664,0.962098786,0.676052257,0.449433835,0
344,6585,13403,0,94,58,0.918750522,0.790013559,0.445958307,0.587884371,1
48,1291,13121,0,4,69,0.790084637,0.690560232,0.647573643,0.948583355,0
474,3581,5919,2,2,32,0.023022605,0.521300667,0.594395859,0.252527782,1
58,7554,10966,0,52,52,0.651367211,0.086705212,0.38361226,0.359250748,0
169,7280,10174,2,22,21,0.771246669,0.958170793,0.065626145,0.37935859,1
475,1636,853,0,52,20,0.37443537,0.758392414,0.821512947,0.605538158,0
187,3696,4146,2,36,69,0.068921539,0.638949385,0.371833529,0.356732053,0
463,698,11928,0,73,69,0.077321065,0.759035846,0.818785643,0.533511925,0
270,4737,3769,1,73,3,0.104246966,0.724103329,0.25250875,0.78179033,1
189,854,574,0,82,93,0.840439632,0.63723158,0.00102948,0.705385594,0
445,8164,11453,0,16,74,0.910686198,0.9805768,0.158938283,0.446368647,1
174,5855,1148,1,84,61,0.122810782,0.903363813,0.468539417,0.864216178,1
445,7392,6293,0,77,61,0.235906035,0.646664919,0.944303635,0.55814025,0
50,6528,6457,1,72,93,0.16552051,0.693175211,0.10219362,0.53990584,0
363,5249,14905,0,0,94,0.186320879,0.051595807,0.854209774,0.034187766,0
54,5172,7509,2,50,23,0.837490789,0.669917465,0.527024096,0.98669298,1
243,1707,14640,2,44,54,0.332146413,0.044165438,0.825920766,0.122970809,0
319,5791,9907,0,76,8,0.311444264,0.588263757,0.298374431,0.231130912,1
130,9925,4777,0,3,2,0.227395621,0.9993535,0.839947165,0.051696837,1
484,5535,13125,0,61,30,0.607894394,0.555806581,0.77282278,0.640002967,0
306,4931,3854,2,64,39,0.379305698,0.473210118,0.230053683,0.224701177,0
134,3510,13365,0,31,35,0.744249652,0.312854857,0.131335126,0.180010437,0
20,202,2491,2,33,23,0.205579808,0.120522579,0.868054323,0.088555584,0
328,4218,10852,1,91,94,0.787789889,0.731023671,0.963236653,0.103308957,0
166,8958,14599,2,94,5,0.603721532,0.192599028,0.031302314,0.5846707,0
273,4389,3124,2,71,65,0.1142673,0.115282021,0.731270067,0.688207866,1
387,2327,5691,1,38,83,0.414504584,0.42176266,0.909524511,0.397378988,1
88,8004,3051,2,25,91,0.863518141,0.795341838,0.857360092,0.479897082,1
315,2931,4,0,33,74,0.922960232,0.745064548,0.964520472,0.685967736,0
13,7777,5222,0,53,3,0.465700122,0.054882615,0.760094078,0.01737979,1
241,197,5315,2,2,78,0.480836978,0.455143685,0.442298762,0.323130657,1
264,7125,4869,0,49,5,0.918454725,0.522434576,0.31195199,0.973097748,1
345,1930,876,2,11,93,0.587068224,0.644546651,0.32074274,0.58011223,1
52,6287,9183,0,64,50,0.03284667,0.65016735,0.724422673,0.25422458,1
385,8800,7027,0,53,61,0.912749463,0.364697249,0.745837012,0.521730047,0
339,9339,4142,2,4,56,0.248226443,0.560677194,0.200359144,0.342653488,0
91,4282,6966,0,93,65,0.577631954,0.481061884,0.868122813,0.532244989,1
366,2511,7079,2,93,78,0.165513317,0.884998357,0.71492404,0.125741512,1
443,9986,7987,0,56,74,0.03387916,0.530265133,0.562750286,0.132714654,1
454,659,6799,0,16,7,0.311473171,0.441032162,0.47153246,0.143542362,0
427,2811,12556,1,46,25,0.780495708,0.40448545,0.543232806,0.939819792,0
263,7098,4465,1,22,50,0.277587173,0.572427759,0.159245738,0.732898918,1
430,6546,635,2,78,44,0.220097214,0.803976979,0.203701249,0.162381895,0
34,9561,13417,1,84,43,0.212680784,0.53840149,0.09116449,0.188349084,0
205,1986,1693,2,13,4,0.515173682,0.661655175,0.153658038,0.730829475,1
80,8338,9874,1,65,69,0.975541316,0.737855767,0.453693635,0.156163845,0
419,2911,4752,0,74,25,0.458988988,0.52016811,0.530354394,0.234561293,0
49,1734,8311,2,50,67,0.557305369,0.426817057,0.017861892,0.963346833,1
359,1843,830,2,37,18,0.860632018,0.876665378,0.796797828,0.255306525,0
387,8680,14098,0,63,83,0.535069719,0.417506084,0.294167973,0.66163235,0
1,2976,11867,2,97,96,0.184462871,0.461942851,0.911836035,0.978631287,1
389,1959,5177,2,37,19,0.299595912,0.990341313,0.967511264,0.374296767,0
53,5759,14262,1,49,11,0.309936926,0.000237524,0.185458875,0.017515991,0
105,6694,9561,2,97,46,0.397318115,0.18547291,0.462097291,0.24414729,1
259,2385,8932,0,81,0,0.426788905,0.38396389,0.001231835,0.830877191,1
309,4736,8308,1,29,89,0.799782022,0.932589909,0.598327265,0.864608836,1
476,1802,5949,1,78,13,0.349386999,0.070029706,0.607306448,0.768519365,0
190,8155,2838,0,90,63,0.468231828,0.009485434,0.247539956,0.113109819,1
401,8120,1150,0,50,37,0.624975987,0.052683836,0.558412673,0.795510372,0
217,6616,7560,1,62,36,0.377725947,0.088543411,0.225540142,0.918677797,1
43,5534,1931,2,97,10,0.836564813,0.037596773,0.160825469,0.600609543,0
161,4061,9204,1,51,99,0.587453604,0.479781327,0.651519467,0.940875356,1
201,262,1664,0,37,76,0.294044679,0.580757207,0.325925464,0.826838884,1
445,6287,1081,1,96,2,0.7140592,0.271686971,0.590263939,0.666971517,1
483,8815,12921,0,87,32,0.52764773,0.398287384,0.433246749,0.577185237,1
269,9208,512,1,78,5,0.534455891,0.091699335,0.984351407,0.348573667,0
350,2049,11041,2,29,49,0.481087948,0.336370464,0.149580643,0.159287445,1
